"TIKTOK","INATTENTIVE","CongNeut","IncongNeut","CongNeg","IncongNeg","NeutralNeut","NeutralNeg","BaseNeut","BaseNeg","CongNeut_front","IncongNeut_front","CongNeg_front","IncongNeg_front","NeutralNeut_front","NeutralNeg_front","BaseNeut_front","BaseNeg_front","CongNeut_mid","IncongNeut_mid","CongNeg_mid","IncongNeg_mid","NeutralNeut_mid","NeutralNeg_mid","BaseNeut_mid","BaseNeg_mid","CongNeut_back","IncongNeut_back","CongNeg_back","IncongNeg_back","NeutralNeut_back","NeutralNeg_back","BaseNeut_back","BaseNeg_back","CongNeut_left","IncongNeut_left","CongNeg_left","IncongNeg_left","NeutralNeut_left","NeutralNeg_left","BaseNeut_left","BaseNeg_left","CongNeut_right","IncongNeut_right","CongNeg_right","IncongNeg_right","NeutralNeut_right","NeutralNeg_right","BaseNeut_right","BaseNeg_right"
"LOW","High",-1.50428733333333,-1.30401083333333,-1.38214333333333,-1.549645,-1.54075133333333,-1.405301,-1.45157716666667,-1.53907366666667,-1.4823175,-1.354746,-1.4006555,-1.5774195,-1.508533,-1.386894,-1.4206755,-1.540983,-1.546871,-1.2978955,-1.386464,-1.5605645,-1.5779985,-1.432524,-1.482274,-1.59411,-1.4836735,-1.259391,-1.3593105,-1.510951,-1.5357225,-1.396485,-1.451782,-1.482128,-1.509809,-1.32882266666667,-1.34533933333333,-1.533656,-1.55112,-1.424076,-1.440873,-1.50813066666667,-1.520164,-1.309276,-1.423429,-1.56312,-1.550572,-1.377857,-1.4630025,-1.6025025
"LOW","High",-0.883755166666667,-0.766023666666667,-0.902825333333333,-0.993523666666667,-0.997619166666667,-0.832172833333333,-0.958558,-0.769881666666667,-0.9574455,-0.852666,-0.965098,-1.052341,-1.05058,-0.897666,-1.011629,-0.8686535,-0.8925845,-0.7722095,-0.9155515,-0.9783105,-0.999924,-0.8437205,-0.9603775,-0.796654,-0.8012355,-0.6731955,-0.8278265,-0.9499195,-0.9423535,-0.755132,-0.9036675,-0.6443375,-0.876450333333333,-0.74699,-0.858342,-0.940275333333333,-0.987557666666667,-0.818752,-0.900047,-0.748823666666667,-0.9230255,-0.8209115,-0.9603995,-1.028724,-1.0207095,-0.860001,-1.0136525,-0.84687
"LOW","High",-1.11931583333333,-1.07430933333333,-0.894516,-1.0685915,-1.20315916666667,-0.842254166666667,-1.15202383333333,-1.08369883333333,-1.1579955,-1.137305,-0.966656,-1.1315305,-1.215933,-0.920069,-1.1955995,-1.1644495,-1.1242345,-1.0672045,-0.8982665,-1.0611255,-1.198463,-0.841102,-1.1581685,-1.1057135,-1.0757175,-1.0184185,-0.8186255,-1.0131185,-1.1950815,-0.7655915,-1.1023035,-0.9809335,-1.10836166666667,-1.06123266666667,-0.847117666666667,-1.010836,-1.192901,-0.818498666666667,-1.097011,-1.06574933333333,-1.135663,-1.0983835,-0.9511095,-1.117055,-1.1981405,-0.8755225,-1.205491,-1.1437675
"LOW","High",-1.68042266666667,-1.5203865,-1.60573416666667,-1.60810666666667,-1.66092883333333,-1.41630216666667,-1.68852766666667,-1.56525133333333,-1.803984,-1.701497,-1.710318,-1.7487175,-1.7548585,-1.5259975,-1.7969525,-1.71971,-1.6823725,-1.480636,-1.5937885,-1.592066,-1.675858,-1.3924765,-1.6918585,-1.53368,-1.5549115,-1.3790265,-1.513096,-1.4835365,-1.55207,-1.3304325,-1.576772,-1.442364,-1.80700933333333,-1.63537766666667,-1.62186566666667,-1.726947,-1.74323466666667,-1.493535,-1.71755,-1.67167266666667,-1.6386285,-1.4834475,-1.6266205,-1.558692,-1.6437875,-1.3737625,-1.713764,-1.5492205
"LOW","High",-1.29171033333333,-1.107775,-0.797176333333333,-0.908252333333333,-0.840982666666667,-0.870419333333333,-1.00213233333333,-1.02792233333333,-1.1143205,-1.0047905,-0.839566,-0.905027,-0.7450415,-1.0521895,-0.9408945,-0.958151,-1.205822,-1.0121585,-0.826443,-0.898182,-0.82406,-0.990683,-1.0281705,-1.0564095,-1.5549885,-1.306376,-0.72552,-0.921548,-0.9538465,-0.5683855,-1.037332,-1.0692065,-1.38785033333333,-1.200569,-0.854919666666667,-0.904497666666667,-0.800558333333333,-0.981858666666667,-1.06693833333333,-1.00140133333333,-1.083706,-0.9087365,-0.767064,-0.8708455,-0.779071,-0.882225,-0.940342,-1.0100485
"LOW","High",-1.964172,-1.64299333333333,-1.8127585,-1.83135,-1.24761266666667,-1.54292933333333,-1.8475815,-1.84913033333333,-1.8343535,-1.6903415,-1.655282,-1.7446745,-1.0375365,-1.4033275,-1.7641375,-1.715904,-2.035479,-1.668611,-1.88617,-1.959885,-1.252196,-1.664198,-1.9534175,-1.937643,-2.0226835,-1.5700275,-1.8968235,-1.7894905,-1.4531055,-1.5612625,-1.8251895,-1.893844,-1.995354,-1.69653233333333,-1.83709666666667,-1.88237866666667,-1.213247,-1.56716633333333,-1.9298,-1.88376033333333,-1.878823,-1.611447,-1.707366,-1.758916,-1.1838735,-1.4940535,-1.760183,-1.7634205
"LOW","High",-0.964163,-0.8742465,-1.01478066666667,-1.05658683333333,-0.892065,-0.802272,-0.788591666666667,-1.00133683333333,-0.9678955,-0.8849875,-1.013671,-1.058667,-0.8482045,-0.810978,-0.795835,-1.006229,-0.9784015,-0.879886,-1.046704,-1.073273,-0.907605,-0.807638,-0.7930795,-1.018619,-0.946192,-0.857866,-0.983967,-1.0378205,-0.9203855,-0.7882,-0.7768605,-0.9791625,-0.978758,-0.863127666666667,-1.01084033333333,-1.048499,-0.879292333333333,-0.795614,-0.780534666666667,-0.995259,-0.955472,-0.893137,-1.035729,-1.0597155,-0.877441,-0.8172085,-0.8021135,-1.018762
"LOW","High",-1.139023,-1.213511,-0.974431833333333,-0.9534015,-1.02776933333333,-0.885980833333333,-1.033489,-1.2515205,-1.4182595,-1.448792,-1.304166,-1.2550445,-1.033153,-1.0760835,-1.26143,-1.49192,-1.09163,-1.180219,-0.9485215,-0.937097,-1.0891325,-0.886335,-1.0021745,-1.240366,-0.9071795,-1.011522,-0.670608,-0.668063,-0.9610225,-0.695524,-0.8368625,-1.0222755,-1.18764266666667,-1.29236633333333,-1.01183166666667,-1.00985933333333,-1.07436066666667,-0.911533333333333,-1.12199266666667,-1.35183233333333,-1.2776405,-1.300725,-1.1853145,-1.1312835,-1.08453,-1.0187395,-1.093321,-1.354512
"LOW","High",-1.623164,-1.59057283333333,-1.303126,-1.51029816666667,-1.2159455,-1.27304933333333,-1.48755283333333,-1.62719383333333,-1.7868635,-1.7286265,-1.550477,-1.642696,-1.113828,-1.4078595,-1.7220205,-1.82489,-1.5204055,-1.485006,-1.116139,-1.4183665,-1.13474,-1.2331055,-1.3532705,-1.5113175,-1.562223,-1.558086,-1.242762,-1.469832,-1.3992685,-1.178183,-1.3873675,-1.545374,-1.61200433333333,-1.62253333333333,-1.29988833333333,-1.513534,-1.20000033333333,-1.27714066666667,-1.51069533333333,-1.66656733333333,-1.670885,-1.5890345,-1.358348,-1.5298605,-1.151751,-1.3174585,-1.511072,-1.6366115
"LOW","High",-1.43118983333333,-1.35066516666667,-1.31550716666667,-1.2993245,-1.08542716666667,-1.119419,-1.189491,-1.38092733333333,-1.5312725,-1.3983535,-1.424611,-1.3407935,-0.99896,-1.158966,-1.239717,-1.5319045,-1.3799255,-1.348508,-1.2647285,-1.2830975,-1.0282345,-1.1135755,-1.1927875,-1.3245385,-1.3823715,-1.305134,-1.257182,-1.2740825,-1.229087,-1.0857155,-1.1359685,-1.286339,-1.43289766666667,-1.39645066666667,-1.333798,-1.33373733333333,-1.07955,-1.12799333333333,-1.19942666666667,-1.41392433333333,-1.455823,-1.3290195,-1.327872,-1.279064,-1.0266795,-1.1302675,-1.204553,-1.3944255
"HIGH","Low",-1.70180333333333,-1.63769766666667,-1.36881716666667,-1.333705,-1.275554,-1.16295366666667,-1.42799333333333,-1.27367283333333,-1.7536985,-1.677898,-1.4475465,-1.370408,-1.1311765,-1.203064,-1.526412,-1.3947615,-1.6132315,-1.549726,-1.237283,-1.216426,-1.195654,-1.0966665,-1.2358785,-1.0857245,-1.73848,-1.685469,-1.421622,-1.414281,-1.4998315,-1.1891305,-1.5216895,-1.3405325,-1.64869933333333,-1.56791766666667,-1.276995,-1.287687,-1.236781,-1.095878,-1.33931766666667,-1.22259433333333,-1.7408875,-1.6835965,-1.4291015,-1.3384415,-1.1972025,-1.2159865,-1.484837,-1.295613
"HIGH","Low",-1.49406033333333,-1.4492205,-1.5171065,-1.4957835,-1.21293116666667,-1.23566616666667,-1.4730745,-1.42309233333333,-1.4828905,-1.4272555,-1.533142,-1.464484,-1.0882655,-1.2316645,-1.506735,-1.412021,-1.4745845,-1.4303785,-1.4380035,-1.4669715,-1.1555355,-1.23258,-1.395128,-1.3779205,-1.524706,-1.4900275,-1.580174,-1.555895,-1.3949925,-1.242754,-1.5173605,-1.4793355,-1.46992566666667,-1.416043,-1.45934666666667,-1.456413,-1.18870566666667,-1.209984,-1.43469833333333,-1.38127433333333,-1.4960875,-1.4570465,-1.5348895,-1.4970835,-1.1405385,-1.254019,-1.4927675,-1.4378975
"HIGH","Low",-1.44639716666667,-1.375822,-1.35356466666667,-1.31299483333333,-1.26001933333333,-1.31320283333333,-1.3336545,-1.4235545,-1.177825,-1.086556,-1.175691,-1.027881,-0.988474,-1.0607485,-1.0717045,-1.2104755,-0.903697,-0.973805,-0.959188,-0.8845735,-0.832146,-0.984919,-0.815667,-0.992323,-2.2576695,-2.067105,-1.925815,-2.02653,-1.959438,-1.893941,-2.113592,-2.067865,-1.43564233333333,-1.30149933333333,-1.26071433333333,-1.205067,-1.18081166666667,-1.20408133333333,-1.293929,-1.35803333333333,-1.002864,-0.9860555,-1.0492615,-0.883824,-0.849058,-1.0165285,-0.883017,-1.047028
"HIGH","Low",-1.78786566666667,-1.8477805,-2.05204166666667,-2.10695433333333,-1.74596633333333,-1.8076955,-1.684572,-1.94893166666667,-1.6814185,-1.750023,-1.995472,-2.0238765,-1.5593685,-1.7358795,-1.697467,-1.9229385,-1.6713775,-1.7775565,-2.0132225,-2.031651,-1.6636315,-1.74342,-1.6942705,-1.919088,-2.010801,-2.015762,-2.1474305,-2.2653355,-2.014899,-1.943787,-1.6619785,-2.0047685,-1.735324,-1.76386433333333,-2.00316933333333,-2.03440466666667,-1.67519533333333,-1.73440766666667,-1.68507666666667,-1.94226933333333,-1.684133,-1.760391,-2.004605,-2.0157885,-1.628037,-1.7408705,-1.701012,-1.904301
"HIGH","Low",-1.44073116666667,-1.39515933333333,-1.36549716666667,-1.47051416666667,-1.30977683333333,-1.24001716666667,-1.3318435,-1.4440065,-1.206925,-1.1393205,-1.246606,-1.2562655,-0.967593,-1.096003,-1.4418905,-1.355875,-1.093852,-1.147746,-1.222257,-1.243717,-1.0401645,-1.0828375,-1.4518265,-1.345893,-2.0214165,-1.8984115,-1.6276285,-1.91156,-1.921573,-1.541211,-1.1018135,-1.6302515,-1.380369,-1.26290733333333,-1.17110866666667,-1.256967,-1.20786033333333,-1.06324666666667,-1.31166433333333,-1.34801133333333,-1.1664315,-1.144245,-1.2394245,-1.220806,-1.001802,-1.095873,-1.4548875,-1.354088
"HIGH","Low",-1.59174083333333,-1.66069416666667,-1.60746216666667,-1.66209066666667,-1.38960216666667,-1.3686295,-1.70046433333333,-1.622906,-1.421895,-1.4967135,-1.5142095,-1.475034,-1.0402905,-1.23256,-1.7365895,-1.545241,-1.234015,-1.4351015,-1.470389,-1.435403,-1.109934,-1.2080615,-1.719377,-1.50461,-2.1193125,-2.0502675,-1.837788,-2.075835,-2.018582,-1.665267,-1.6454265,-1.818867,-1.496233,-1.52834,-1.418306,-1.46340566666667,-1.27251266666667,-1.18623366666667,-1.663532,-1.511945,-1.3994735,-1.4838795,-1.5362655,-1.45772,-1.1012265,-1.251929,-1.7757765,-1.560151
"HIGH","Low",-1.397224,-1.5810555,-1.4003125,-1.51791716666667,-1.398261,-1.31227883333333,-1.3446755,-1.3319435,-1.1311965,-1.3509355,-1.146883,-1.1918005,-1.0394845,-1.1170825,-1.2998615,-1.158364,-1.0464025,-1.3780875,-1.2859145,-1.3506365,-1.1537675,-1.1791485,-1.4387925,-1.235996,-2.014073,-2.0141435,-1.76814,-2.0113145,-2.001531,-1.6406055,-1.2953725,-1.6014705,-1.413355,-1.484677,-1.256243,-1.322477,-1.304309,-1.15127166666667,-1.38573666666667,-1.34385666666667,-1.0073175,-1.332725,-1.1969075,-1.251824,-1.0925745,-1.1552145,-1.3376895,-1.1000155
"HIGH","Low",-1.5557605,-1.53726283333333,-1.605253,-1.573132,-1.41418583333333,-1.42470166666667,-1.37603683333333,-1.504025,-1.4372205,-1.424743,-1.582054,-1.4407435,-1.066849,-1.3410075,-1.4943245,-1.493058,-1.2074095,-1.241316,-1.408869,-1.286426,-1.251239,-1.2507615,-1.326873,-1.3083005,-2.0226515,-1.9457295,-1.824836,-1.9922265,-1.9244695,-1.682336,-1.306913,-1.7107165,-1.469361,-1.375458,-1.425517,-1.33631766666667,-1.34168533333333,-1.24982766666667,-1.31275433333333,-1.378263,-1.3565345,-1.371385,-1.5234955,-1.3926725,-1.100501,-1.321978,-1.459134,-1.4342205
"HIGH","Low",-1.97308216666667,-1.83519233333333,-1.21958466666667,-1.45318983333333,-1.9738705,-1.307916,-1.15909116666667,-1.41798583333333,-1.9700305,-1.8408525,-1.2546405,-1.299698,-1.9641425,-1.308025,-1.337323,-1.354272,-1.970486,-1.844379,-1.127058,-1.2160175,-1.9636985,-1.142026,-1.2159075,-1.3482965,-1.97873,-1.8203455,-1.2770555,-1.843854,-1.9937705,-1.473697,-0.924043,-1.551389,-1.968843,-1.806243,-1.17876633333333,-1.28844433333333,-1.9527,-1.20385133333333,-1.23565166666667,-1.42013933333333,-1.971159,-1.8552335,-1.0820545,-1.159195,-1.9689805,-1.176465,-1.145889,-1.2147445
"HIGH","Low",-1.658069,-1.67645983333333,-1.53527633333333,-1.67450366666667,-1.48492183333333,-1.503432,-1.70967933333333,-1.73782983333333,-1.3967265,-1.386975,-1.4923565,-1.425549,-1.2250365,-1.4219555,-1.7199485,-1.5775515,-1.4638355,-1.6097605,-1.5573265,-1.588343,-1.294115,-1.433497,-1.844218,-1.768315,-2.113645,-2.032644,-1.556146,-2.009619,-1.935614,-1.6548435,-1.5648715,-1.867623,-1.65438966666667,-1.62804333333333,-1.466053,-1.52430533333333,-1.35687466666667,-1.383509,-1.73827433333333,-1.72679566666667,-1.364001,-1.3837035,-1.4299595,-1.4144355,-1.2612085,-1.3700655,-1.703234,-1.5841885
"HIGH","High",-1.66443983333333,-1.7309795,-1.567004,-1.74325966666667,-1.50883783333333,-1.49242566666667,-1.660898,-1.8109585,-1.538613,-1.6425315,-1.642816,-1.6236555,-1.286627,-1.5076885,-1.7814715,-1.753981,-1.3563425,-1.521358,-1.4740525,-1.556814,-1.278466,-1.301457,-1.6726865,-1.806159,-2.098364,-2.029049,-1.5841435,-2.0493095,-1.9614205,-1.6681315,-1.528536,-1.8727355,-1.60988933333333,-1.64077366666667,-1.46279833333333,-1.562729,-1.38087266666667,-1.31686733333333,-1.65785466666667,-1.76348033333333,-1.4531175,-1.533463,-1.509541,-1.553092,-1.2979985,-1.429415,-1.7090275,-1.7173575
"HIGH","High",-1.65718466666667,-1.66975133333333,-1.6145925,-1.64552833333333,-1.50652116666667,-1.42915533333333,-1.667517,-1.8403945,-1.536048,-1.501857,-1.81527,-1.4690405,-1.2695125,-1.3802905,-1.810955,-1.8789405,-1.3167205,-1.4567145,-1.4685235,-1.41352,-1.2595315,-1.244405,-1.7254545,-1.7383285,-2.1187855,-2.0506825,-1.559984,-2.0540245,-1.9905195,-1.6627705,-1.4661415,-1.9039145,-1.61455133333333,-1.57069266666667,-1.49964533333333,-1.45872866666667,-1.38070466666667,-1.23278466666667,-1.68485433333333,-1.79739866666667,-1.4225315,-1.4474355,-1.6051135,-1.414724,-1.282561,-1.367934,-1.7302565,-1.7630025
"HIGH","High",-1.42384733333333,-1.40771383333333,-1.242374,-1.41211616666667,-1.33569983333333,-1.2046025,-1.297179,-1.38400333333333,-0.8001205,-0.7999175,-0.8340515,-0.875577,-0.9008895,-0.9124455,-0.854648,-0.977724,-1.3348665,-1.3684755,-1.370874,-1.329438,-1.1565675,-1.194655,-1.4948745,-1.3662565,-2.136555,-2.0547485,-1.5221965,-2.0313335,-1.9496425,-1.506707,-1.5420145,-1.8080295,-1.39134333333333,-1.323787,-1.18478433333333,-1.23534333333333,-1.22437066666667,-1.100929,-1.332434,-1.32897133333333,-1.034594,-1.0426195,-1.079133,-1.055246,-1.021876,-1.029093,-1.128126,-1.1251475
"HIGH","High",-1.69736283333333,-1.69926033333333,-1.45093733333333,-1.552151,-1.45000833333333,-1.3483205,-1.5483155,-1.5306135,-1.3142315,-1.3882315,-1.154578,-1.371998,-1.092333,-1.186804,-1.4182175,-1.4013695,-1.5525985,-1.5575,-1.5156955,-1.4797725,-1.2249855,-1.2784275,-1.6032685,-1.436074,-2.2252585,-2.1520495,-1.6825385,-1.8046825,-2.0327065,-1.57973,-1.6234605,-1.754397,-1.70480166666667,-1.66031233333333,-1.38791333333333,-1.44637833333333,-1.33987666666667,-1.237432,-1.49255266666667,-1.41850966666667,-1.3325065,-1.361657,-1.279397,-1.354874,-1.1513345,-1.214463,-1.458928,-1.3618035
"HIGH","High",-1.889147,-1.76858416666667,-1.77231516666667,-1.74731233333333,-1.45008016666667,-1.41388883333333,-1.79015033333333,-1.7615435,-1.7407255,-1.546772,-1.7313605,-1.6919885,-1.1315225,-1.3537575,-1.812082,-1.6676095,-1.6645475,-1.61606,-1.7614475,-1.643604,-1.2373785,-1.301916,-1.7941595,-1.627672,-2.262168,-2.1429205,-1.8241375,-1.9063445,-1.9813395,-1.585993,-1.7642095,-1.989349,-1.83838733333333,-1.67178533333333,-1.693769,-1.63689266666667,-1.26501233333333,-1.275601,-1.74731366666667,-1.64160933333333,-1.7030995,-1.5548385,-1.768755,-1.653748,-1.226697,-1.3511575,-1.8227515,-1.6766435
"HIGH","High",-1.7853285,-1.66289466666667,-1.55748516666667,-1.603038,-1.40208983333333,-1.30727,-1.57096933333333,-1.66372616666667,-1.6035515,-1.4346835,-1.585918,-1.537178,-1.0749925,-1.241697,-1.651339,-1.628202,-1.547595,-1.4982035,-1.5377165,-1.4881495,-1.218861,-1.201018,-1.558415,-1.548511,-2.204839,-2.055797,-1.548821,-1.7837865,-1.912416,-1.479095,-1.503154,-1.8144655,-1.71278266666667,-1.52771666666667,-1.384807,-1.459806,-1.22057033333333,-1.15645666666667,-1.52397,-1.48380033333333,-1.608018,-1.479292,-1.6486055,-1.5237,-1.178697,-1.247815,-1.660743,-1.653745
"HIGH","High",-1.627459,-1.33934383333333,-1.43862116666667,-1.4916865,-1.28289966666667,-1.1764205,-1.39390233333333,-1.50175016666667,-1.392856,-1.3575365,-1.3910295,-1.4258395,-0.981881,-1.1863055,-1.415609,-1.3706935,-1.3415825,-1.338352,-1.412605,-1.4008585,-1.0971405,-1.179483,-1.3953265,-1.3520685,-2.1479385,-1.322143,-1.512229,-1.6483615,-1.7696775,-1.163473,-1.3707715,-1.7824885,-1.59525133333333,-1.32752733333333,-1.38603,-1.406651,-1.11436433333333,-1.17037633333333,-1.377077,-1.41453833333333,-1.3532075,-1.354201,-1.4019445,-1.400724,-1.0590945,-1.189068,-1.409508,-1.364415
