TIKTOK,INATTENTIVE,CongNeutE1,CongNeutE2,CongNeutE3,CongNeutE4,CongNeutE5,CongNeutE6,NeutralNeutE1,NeutralNeutE2,NeutralNeutE3,NeutralNeutE4,NeutralNeutE5,NeutralNeutE6,IncongNeutE1,IncongNeutE2,IncongNeutE3,IncongNeutE4,IncongNeutE5,IncongNeutE6,CongNegE1,CongNegE2,CongNegE3,CongNegE4,CongNegE5,CongNegE6,NeutralNegE1,NeutralNegE2,NeutralNegE3,NeutralNegE4,NeutralNegE5,NeutralNegE6,IncongNegE1,IncongNegE2,IncongNegE3,IncongNegE4,IncongNegE5,IncongNegE6
LOW,High,-0.948295,-0.966596,-0.905714,-0.879455,-0.775342,-0.827129,-1.04097,-1.06019,-1.018619,-0.981229,-0.903084,-0.981623,-0.82695,-0.878382,-0.780978,-0.763441,-0.633042,-0.713349,-0.94837,-0.981826,-0.89213,-0.938973,-0.734526,-0.921127,-0.89893,-0.896402,-0.863841,-0.8236,-0.693485,-0.816779,-1.035884,-1.068798,-0.967971,-0.98865,-0.816971,-1.082868
LOW,High,-1.158613,-1.157378,-1.134521,-1.113948,-1.031951,-1.119484,-1.209987,-1.221879,-1.222524,-1.174402,-1.146192,-1.243971,-1.126851,-1.147759,-1.085401,-1.049008,-0.971446,-1.065391,-0.950768,-0.982544,-0.876858,-0.919675,-0.713727,-0.923524,-0.918086,-0.922052,-0.853211,-0.828993,-0.684199,-0.846984,-1.109882,-1.153179,-1.04132,-1.080931,-0.881306,-1.144931
LOW,High,-1.86641,-1.741558,-1.829046,-1.535699,-1.725572,-1.384251,-1.803955,-1.705762,-1.769903,-1.581813,-1.655846,-1.448294,-1.783197,-1.619797,-1.614174,-1.347098,-1.508762,-1.249291,-1.742549,-1.678087,-1.612423,-1.575154,-1.510625,-1.515567,-1.585986,-1.466009,-1.503437,-1.281516,-1.391182,-1.269683,-1.824517,-1.672918,-1.739666,-1.444466,-1.616658,-1.350415
LOW,High,-1.219154,-1.009487,-1.253719,-1.157925,-1.690678,-1.419299,-0.799848,-0.690235,-0.780213,-0.867907,-0.821614,-1.086079,-1.138076,-0.871505,-1.078349,-0.945968,-1.385282,-1.22747,-0.909241,-0.769891,-0.888649,-0.764237,-0.766869,-0.684171,-1.123874,-0.980505,-1.197421,-0.783945,-0.624281,-0.51249,-0.94776,-0.862294,-0.916967,-0.879397,-0.848766,-0.99433
LOW,High,-1.931851,-1.736856,-2.050168,-2.02079,-2.004043,-2.041324,-1.083944,-0.991129,-1.127774,-1.376618,-1.428023,-1.478188,-1.781803,-1.59888,-1.713208,-1.624014,-1.594586,-1.545469,-1.797194,-1.51337,-1.870978,-1.901362,-1.843118,-1.950529,-1.502118,-1.304537,-1.644826,-1.68357,-1.554555,-1.56797,-1.901868,-1.587481,-1.989419,-1.930351,-1.755849,-1.823132
LOW,High,-0.976359,-0.959432,-1.005291,-0.951512,-0.954624,-0.93776,-0.880686,-0.815723,-0.876051,-0.939159,-0.88114,-0.959631,-0.873457,-0.896518,-0.870016,-0.889756,-0.84591,-0.869822,-1.01622,-1.011122,-1.033072,-1.060336,-0.983229,-0.984705,-0.803292,-0.818664,-0.799523,-0.815753,-0.784027,-0.792373,-1.065497,-1.051837,-1.078952,-1.067594,-1.001048,-1.074593
LOW,High,-1.473475,-1.363044,-0.991023,-1.192237,-1.09843,-0.715929,-1.093247,-0.973059,-0.982264,-1.196001,-1.147571,-0.774474,-1.528433,-1.369151,-1.128139,-1.232299,-1.220527,-0.802517,-1.294672,-1.31366,-0.840074,-1.056969,-0.900749,-0.440467,-1.086094,-1.066073,-0.801264,-0.971406,-0.847242,-0.543806,-1.27787,-1.232219,-0.843846,-1.030348,-0.907862,-0.428264
LOW,High,-1.768284,-1.805443,-1.504484,-1.536327,-1.563245,-1.561201,-1.143552,-1.084104,-1.050082,-1.219398,-1.406367,-1.39217,-1.746299,-1.710954,-1.502897,-1.467115,-1.618404,-1.497768,-1.56702,-1.533934,-1.049516,-1.182762,-1.283129,-1.202395,-1.410962,-1.404757,-1.236051,-1.23016,-1.184409,-1.171957,-1.674349,-1.611043,-1.388055,-1.448678,-1.478198,-1.461466
LOW,High,-1.521783,-1.540762,-1.388967,-1.370884,-1.387943,-1.3768,-1.035672,-0.962248,-0.965358,-1.091111,-1.23762,-1.220554,-1.431024,-1.365683,-1.40466,-1.292356,-1.353668,-1.2566,-1.433645,-1.415577,-1.28929,-1.240167,-1.278459,-1.235905,-1.159617,-1.158315,-1.124931,-1.10222,-1.099432,-1.071999,-1.363602,-1.317985,-1.326052,-1.240143,-1.311558,-1.236607
HIGH,Low,-1.708919,-1.798478,-1.543166,-1.683297,-1.694013,-1.782947,-1.160394,-1.101959,-1.098862,-1.292446,-1.451087,-1.548576,-1.640661,-1.715135,-1.447394,-1.652058,-1.615698,-1.75524,-1.434217,-1.460876,-1.077239,-1.397327,-1.319529,-1.523715,-1.183249,-1.222879,-0.984239,-1.209094,-1.120146,-1.258115,-1.362669,-1.378147,-1.134116,-1.298736,-1.366276,-1.462286
