SUBNUM,TIKTOK,INATTENTIVE,BaseNeutE1,BaseNeutE2,BaseNeutE3,BaseNeutE4,BaseNeutE5,BaseNeutE6,NeutralNeutE1,NeutralNeutE2,NeutralNeutE3,NeutralNeutE4,NeutralNeutE5,NeutralNeutE6,BaseNegE1,BaseNegE2,BaseNegE3,BaseNegE4,BaseNegE5,BaseNegE6,NeutralNegE1,NeutralNegE2,NeutralNegE3,NeutralNegE4,NeutralNegE5,NeutralNegE6
Sub31 ,HIGH,Low,-1.695584,-1.777595,-1.664796,-1.773958,-1.630216,-1.660637,-1.058618,-1.021963,-1.039378,-1.18049,-1.719542,-2.317622,-1.50648,-1.584002,-1.47292,-1.5363,-1.556435,-2.081299,-1.199037,-1.266083,-1.178348,-1.237775,-1.181316,-2.149218
Sub34 ,HIGH,Low,-1.317303,-1.28242,-1.484626,-1.392959,-1.355281,-1.235464,-1.088093,-0.990876,-1.113262,-1.194273,-1.711572,-2.29149,-1.212585,-1.104143,-1.376104,-1.095888,-1.442881,-1.76006,-1.097256,-1.136909,-1.184777,-1.17352,-1.171782,-2.109429
Sub37 ,HIGH,Low,-1.530188,-1.458461,-1.193939,-1.459807,-1.214136,-1.39969,-1.114985,-1.018713,-1.320189,-1.182289,-1.589882,-2.259057,-1.536002,-1.450114,-1.198274,-1.418327,-1.400513,-2.02092,-1.350362,-1.331653,-1.18922,-1.312303,-1.209901,-2.154771
Sub45 ,HIGH,Low,-1.449711,-1.224935,-1.364972,-1.066843,-0.892272,-0.955814,-1.961903,-1.966382,-1.955818,-1.971579,-1.940379,-2.047162,-1.524008,-1.184536,-1.45164,-1.244953,-1.28477,-1.818008,-1.30031,-1.31574,-1.246862,-1.03719,-1.064382,-1.883012
Sub51 ,HIGH,Low,-1.850727,-1.58917,-1.871138,-1.817298,-1.492958,-1.636785,-1.335604,-1.114469,-1.180282,-1.407948,-1.554738,-2.31649,-1.744014,-1.411089,-1.779342,-1.757288,-1.657031,-2.078215,-1.513222,-1.330689,-1.457552,-1.409442,-1.179753,-2.129934
Sub06 ,HIGH,High,-1.829478,-1.733465,-1.660783,-1.68459,-1.483303,-1.573769,-1.343477,-1.229777,-1.190712,-1.36622,-1.608429,-2.314412,-1.876995,-1.630967,-1.80857,-1.803748,-1.604876,-2.140595,-1.472683,-1.542694,-1.286778,-1.316136,-1.191141,-2.145122
Sub07 ,HIGH,High,-1.872047,-1.749863,-1.740259,-1.71065,-1.442257,-1.490026,-1.327415,-1.21161,-1.165551,-1.353512,-1.649148,-2.331891,-1.948459,-1.809422,-1.760074,-1.716583,-1.683663,-2.124166,-1.284192,-1.476389,-1.229331,-1.259479,-1.184831,-2.14071
Sub17 ,HIGH,High,-0.97161,-0.737686,-1.471183,-1.518566,-1.554509,-1.52952,-0.98935,-0.812429,-1.081812,-1.231323,-1.60195,-2.297335,-1.0904,-0.865048,-1.347266,-1.385247,-1.549248,-2.066811,-0.996788,-0.828103,-1.159227,-1.230083,-1.146772,-1.866642
Sub18 ,HIGH,High,-1.484776,-1.351659,-1.64034,-1.566197,-1.352542,-1.894379,-1.150705,-1.033961,-1.181263,-1.268708,-1.687662,-2.377751,-1.468613,-1.334126,-1.482667,-1.389481,-1.304249,-2.204545,-1.20801,-1.165598,-1.293527,-1.263328,-1.210759,-1.948701
Sub19 ,HIGH,High,-1.819288,-1.804876,-1.747692,-1.840627,-1.674961,-1.853458,-1.182439,-1.080606,-1.101969,-1.372788,-1.510629,-2.45205,-1.65433,-1.680889,-1.582946,-1.672398,-1.687552,-2.291146,-1.351704,-1.355811,-1.257328,-1.346504,-1.217771,-1.954215
Sub27 ,HIGH,High,-1.621463,-1.681215,-1.476559,-1.640271,-1.473888,-1.53242,-1.114724,-1.035261,-1.115589,-1.322133,-1.431398,-2.393434,-1.590607,-1.665797,-1.455329,-1.641693,-1.405465,-2.223466,-1.232332,-1.251062,-1.157468,-1.244568,-1.07957,-1.87862
Sub35 ,HIGH,High,-1.428647,-1.402571,-1.374208,-1.416445,-1.328376,-1.413167,-1.020817,-0.942945,-1.019037,-1.175244,-1.303239,-2.236116,-1.372223,-1.369164,-1.344471,-1.359666,-1.526921,-2.038056,-1.18067,-1.191941,-1.172771,-1.186195,-1.157688,-1.169258
Sub36 ,HIGH,High,-1.662215,-1.543573,-1.351611,-2.109434,-1.194087,-1.483578,-1.207855,-1.098224,-1.142116,-1.372272,-1.449231,-2.409291,-1.693013,-1.494594,-1.607717,-2.241915,-1.496544,-1.531044,-1.385863,-1.328002,-1.291641,-1.320583,-1.179044,-1.253695
Sub38 ,HIGH,High,-1.89266,-1.716492,-1.854731,-1.714197,-1.747879,-1.76443,-1.223263,-1.067802,-1.222183,-1.375765,-1.553236,-2.444989,-1.875703,-1.631945,-1.808907,-2.258616,-1.658201,-1.653242,-1.414912,-1.330356,-1.367041,-1.276398,-1.241595,-1.26426
Sub40 ,HIGH,High,-1.346606,-1.425992,-1.347224,-1.427605,-1.359862,-1.463982,-1.025262,-0.951033,-1.013737,-1.207159,-1.349389,-2.336904,-1.353064,-1.495073,-1.329954,-1.601472,-1.359974,-1.548073,-1.175172,-1.209445,-1.131483,-1.167669,-1.116775,-1.169324
