Sub09 	 Low 	 LOW 	 0.000000 	 0.167788 	 0.000000 	 0.000000 	 0.174573 	 0.000000 	 0.000000 	 0.209346 	 0.000000 	 0.000000 	 0.276218 	 0.000000 
Sub10 	 Low 	 LOW 	 0.000000 	 0.188030 	 0.000000 	 0.000000 	 0.179822 	 0.000000 	 0.000000 	 0.270208 	 0.000000 	 0.000000 	 0.231080 	 0.000000 
Sub11 	 Low 	 LOW 	 0.000000 	 0.278945 	 0.000000 	 0.000000 	 0.282257 	 0.000000 	 0.000000 	 0.307565 	 0.000000 	 0.000000 	 0.236341 	 0.000000 
Sub24 	 Low 	 LOW 	 0.000000 	 0.248234 	 0.000000 	 0.000000 	 0.291269 	 0.000000 	 0.000000 	 0.299073 	 0.000000 	 0.000000 	 0.322103 	 0.000000 
Sub26 	 Low 	 LOW 	 0.000000 	 0.262428 	 0.000000 	 0.000000 	 0.268387 	 0.000000 	 0.000000 	 0.302392 	 0.000000 	 0.000000 	 0.320215 	 0.000000 
Sub30 	 Low 	 LOW 	 0.000000 	 0.280164 	 0.000000 	 0.000000 	 0.250643 	 0.000000 	 0.000000 	 0.298986 	 0.000000 	 0.000000 	 0.337214 	 0.000000 
Sub42 	 Low 	 LOW 	 0.000000 	 0.131061 	 0.000000 	 0.000000 	 0.135170 	 0.000000 	 0.000000 	 0.183948 	 0.000000 	 0.000000 	 0.185471 	 0.000000 
Sub43 	 Low 	 LOW 	 0.000000 	 0.206924 	 0.000000 	 0.000000 	 0.206797 	 0.000000 	 0.000000 	 0.182149 	 0.000000 	 0.000000 	 0.280445 	 0.000000 
Sub44 	 Low 	 LOW 	 0.000000 	 0.099192 	 0.000000 	 0.000000 	 0.086040 	 0.000000 	 0.000000 	 0.160256 	 0.000000 	 0.000000 	 0.138299 	 0.000000 
Sub48 	 Low 	 LOW 	 0.000000 	 0.107050 	 0.000000 	 0.000000 	 0.099768 	 0.000000 	 0.000000 	 0.127575 	 0.000000 	 0.000000 	 0.133321 	 0.000000 
