Sub09 	 Low 	 LOW 	 0.000000 	 0.167788 	 0.000000 	 0.000000 	 0.174573 	 0.000000 	 0.000000 	 0.209346 	 0.000000 	 0.000000 	 0.276218 	 0.000000 
Sub11 	 Low 	 LOW 	 0.000000 	 0.276900 	 0.000000 	 0.000000 	 0.282257 	 0.000000 	 0.000000 	 0.307565 	 0.000000 	 0.000000 	 0.236341 	 0.000000 
Sub15 	 Low 	 LOW 	 0.000000 	 0.321185 	 0.000000 	 0.000000 	 0.324149 	 0.000000 	 0.000000 	 0.434620 	 0.000000 	 0.000000 	 0.427226 	 0.000000 
Sub24 	 Low 	 LOW 	 0.000000 	 0.248234 	 0.000000 	 0.000000 	 0.291269 	 0.000000 	 0.000000 	 0.299073 	 0.000000 	 0.000000 	 0.322103 	 0.000000 
Sub26 	 Low 	 LOW 	 0.000000 	 0.262428 	 0.000000 	 0.000000 	 0.268387 	 0.000000 	 0.000000 	 0.302392 	 0.000000 	 0.000000 	 0.320215 	 0.000000 
Sub32 	 Low 	 LOW 	 0.000000 	 0.261665 	 0.000000 	 0.000000 	 0.282780 	 0.000000 	 0.000000 	 0.344756 	 0.000000 	 0.000000 	 0.352525 	 0.000000 
Sub42 	 Low 	 LOW 	 0.000000 	 0.131061 	 0.000000 	 0.000000 	 0.135170 	 0.000000 	 0.000000 	 0.183948 	 0.000000 	 0.000000 	 0.185471 	 0.000000 
Sub43 	 Low 	 LOW 	 0.000000 	 0.206924 	 0.000000 	 0.000000 	 0.206797 	 0.000000 	 0.000000 	 0.182149 	 0.000000 	 0.000000 	 0.280445 	 0.000000 
Sub44 	 Low 	 LOW 	 0.000000 	 0.099192 	 0.000000 	 0.000000 	 0.086040 	 0.000000 	 0.000000 	 0.160256 	 0.000000 	 0.000000 	 0.138299 	 0.000000 
Sub48 	 Low 	 LOW 	 0.000000 	 0.107050 	 0.000000 	 0.000000 	 0.099768 	 0.000000 	 0.000000 	 0.127575 	 0.000000 	 0.000000 	 0.133321 	 0.000000 
Sub04 	 High 	 LOW 	 0.000000 	 0.121556 	 0.000000 	 0.000000 	 0.131366 	 0.000000 	 0.000000 	 0.168088 	 0.000000 	 0.000000 	 0.153794 	 0.000000 
Sub10 	 High 	 LOW 	 0.000000 	 0.143404 	 0.000000 	 0.000000 	 0.138517 	 0.000000 	 0.000000 	 0.183996 	 0.000000 	 0.000000 	 0.167690 	 0.000000 
Sub21 	 High 	 LOW 	 0.000000 	 0.151031 	 0.000000 	 0.000000 	 0.136118 	 0.000000 	 0.000000 	 0.177654 	 0.000000 	 0.000000 	 0.164650 	 0.000000 
Sub33 	 High 	 LOW 	 0.000000 	 0.156263 	 0.000000 	 0.000000 	 0.155276 	 0.000000 	 0.000000 	 0.236655 	 0.000000 	 0.000000 	 0.170635 	 0.000000 
Sub30 	 High 	 LOW 	 0.000000 	 0.149049 	 0.000000 	 0.000000 	 0.130929 	 0.000000 	 0.000000 	 0.158475 	 0.000000 	 0.000000 	 0.163549 	 0.000000 
Sub39 	 High 	 LOW 	 0.000000 	 0.098781 	 0.000000 	 0.000000 	 0.104262 	 0.000000 	 0.000000 	 0.130300 	 0.000000 	 0.000000 	 0.123535 	 0.000000 
Sub41 	 High 	 LOW 	 0.000000 	 0.117327 	 0.000000 	 0.000000 	 0.141205 	 0.000000 	 0.000000 	 0.282395 	 0.000000 	 0.000000 	 0.174951 	 0.000000 
Sub47 	 High 	 LOW 	 0.000000 	 0.173719 	 0.000000 	 0.000000 	 0.183341 	 0.000000 	 0.000000 	 0.156749 	 0.000000 	 0.000000 	 0.145271 	 0.000000 
Sub49 	 High 	 LOW 	 0.000000 	 0.202158 	 0.000000 	 0.000000 	 0.196129 	 0.000000 	 0.000000 	 0.263532 	 0.000000 	 0.000000 	 0.218368 	 0.000000 
Sub50 	 High 	 LOW 	 0.000000 	 0.144084 	 0.000000 	 0.000000 	 0.156957 	 0.000000 	 0.000000 	 0.228859 	 0.000000 	 0.000000 	 0.226037 	 0.000000 
Sub05 	 Low 	 HIGH 	 0.000000 	 0.159410 	 0.000000 	 0.000000 	 0.185429 	 0.000000 	 0.000000 	 0.247466 	 0.000000 	 0.000000 	 0.220156 	 0.000000 
Sub08 	 Low 	 HIGH 	 0.000000 	 0.169070 	 0.000000 	 0.000000 	 0.167419 	 0.000000 	 0.000000 	 0.211218 	 0.000000 	 0.000000 	 0.205055 	 0.000000 
Sub13 	 Low 	 HIGH 	 0.000000 	 0.217124 	 0.000000 	 0.000000 	 0.244393 	 0.000000 	 0.000000 	 0.320729 	 0.000000 	 0.000000 	 0.266363 	 0.000000 
Sub14 	 Low 	 HIGH 	 0.000000 	 0.108429 	 0.000000 	 0.000000 	 0.113794 	 0.000000 	 0.000000 	 0.137052 	 0.000000 	 0.000000 	 0.170661 	 0.000000 
