"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","zip_code","birth_year","birth_sex","gender_id","sexual_oriental","enrollment_status","Major","gpa_by_student","college_year","ethnicity","other_home_language","transfer","international_student","relationship_status","annual_household_income","personal_weekly_income","future_personal_annual_income","college_salary_greater","age"
2024,"Fall",24342656,3.711,69,"BA",10009,2006,"Male","Male","Uncertain/Questioning","Full-time (12 credits or more)","Undeclared: Education",3.7,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$150,001 to $299,999","20%-40%",20
2024,"Fall",24347040,3.01,30,"BE",11106,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Computer Engineering",3.2,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Dating/In A Relationship",NA,"$200 or less","$150,001 to $299,999","20%-40%",21
2024,"Fall",24352349,3.204,93,"BS",11368,2005,"Female","Female","Bisexual","Full-time (12 credits or more)","Undeclared: Digital Design",3.2,"2nd year undergraduate","Middle Eastern or North African","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","40%-60%",21
2024,"Fall",24359092,3.396,58,"BS",11221,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single","$60,000 to $99,999","$200 or less","$150,001 to $299,999","20%-40%",20
2024,"Fall",24360417,4,68,"BA",10461,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Psychology",4,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"Currently Unemployed","$100,000 to $150,000","60%-80%",20
2024,"Fall",24361692,3.44,69,"BE",11420,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Civil Engineering",4,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single","$100,000 to $150,000","$200 or less","$100,000 to $150,000","40%-60%",20
2024,"Fall",24361967,3.92,72,"BE",11421,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Civil Engineering",3.8,"1st year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single",NA,"$200 or less","$100,000 to $150,000","20%-40%",20
2024,"Fall",24365015,3.593,66,"BE",11373,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Computer Engineering",3.7,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$201-$400","$100,000 to $150,000","40%-60%",21
2024,"Fall",24365498,3.233,68,"BA",11412,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3,"1st year undergraduate","Black or African American","No","No","No","Single","$60,000 to $99,999","$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24368264,2.925,61,"BFA",10486,2003,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Video Film Production",2.85,"1st year undergraduate","Black or African American","No","No","No","Single",NA,"$601-$800","$60,000 to $99,999","80%-100%",23
2024,"Fall",24369232,3.716,55,"BA",11432,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biochemistry",1.9,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"Currently Unemployed","Less than 60,000","80%-100%",20
2024,"Fall",24373663,3.666,63,"BA",10468,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Education/Film",0,"1st year undergraduate","Some other race, ethnicity or origin","Yes","No","No","Single","$60,000 to $99,999","$200 or less","$100,000 to $150,000","40%-60%",20
2024,"Fall",24375857,3.586,72,"BE",11226,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Bme",3.5,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single","$60,000 to $99,999","$200 or less","$100,000 to $150,000","20%-40%",20
2024,"Fall",24382503,2.075,35,"BE",10037,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Civil Engineering",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","60%-80%",20
2024,"Fall",24383512,3.838,66,"BE",10458,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Medicine",4,"1st year undergraduate","Black or African American","Yes","No","No","Single",NA,"$200 or less","$150,001 to $299,999","60%-80%",20
2024,"Fall",24384637,2.9,42,"BE",11590,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Civil Engineering",0.01,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","0%-20%",21
2024,"Fall",24387825,2.877,67,"BA",10468,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","20%-40%",20
2024,"Fall",24392792,3.528,39,"BA",11373,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Economics",2,"1st year undergraduate","Asian","Yes","No","No","Dating/In A Relationship","$60,000 to $99,999","$200 or less","$100,000 to $150,000","0%-20%",20
2024,"Fall",24392944,3.364,70,"BA",11377,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Business Administration And Management",3.2,"2nd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","Greater than $300,000","60%-80%",21
2024,"Fall",24393532,2.837,64,"BA",11434,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",3.2,"1st year undergraduate","Black or African American","No","Yes","No","Single",NA,"$200 or less","Greater than $300,000","60%-80%",20
2024,"Fall",24396125,2.432,42,"BA",10024,2005,"Female","Female","Bisexual","Full-time (12 credits or more)","Undeclared: Not Sure",3.5,"2nd year undergraduate","White or Caucasian","No","Yes","No","Single",NA,"$601-$800","Greater than $300,000","60%-80%",21
2024,"Fall",24397357,3.494,85,"BA",10027,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.5,"2nd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",21
2024,"Fall",24398459,3.35,33,"BA",10029,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Domestic partnership",NA,"Currently Unemployed","$100,000 to $150,000","60%-80%",21
2024,"Fall",24400981,3.553,61,"BE",11379,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Mechanical Engineering",0,"1st year undergraduate","Middle Eastern or North African","Yes","Yes","No","Single",NA,"$601-$800","$100,000 to $150,000","60%-80%",20
2024,"Fall",24409348,1.808,46,"BA",10467,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Economics",2,"2nd year undergraduate","Asian","Yes","No","No","Single","$100,000 to $150,000","$200 or less","$150,001 to $299,999","40%-60%",21
2024,"Fall",24409962,3.763,65,"BA",11373,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Business",0,"1st year undergraduate","Asian","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24413374,3.862,95,"BS",10466,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Pre-Med",3.9,"2nd year undergraduate","Black or African American","Yes","Yes","No","Single","$60,000 to $99,999","$201-$400","$60,000 to $99,999","40%-60%",21
2024,"Fall",24417041,3.008,67,"BS",11203,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Science",3,"2nd year undergraduate","Asian","No","No","No","Single","$60,000 to $99,999","$200 or less","$100,000 to $150,000","40%-60%",21
2024,"Fall",24417277,2.857,72,"BSED",10025,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Education",2.6,"2nd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","40%-60%",21
2024,"Fall",24420262,3.016,31,"BA",10032,2004,"Female","Female","Heterosexual (as in ""straight"")","Part-time (Fewer than 12 credits)","Undeclared: Psychology",2,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","Yes","Single",NA,"$201-$400","$60,000 to $99,999","40%-60%",22
2024,"Fall",24423697,3.225,56,"BA",11418,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3.3,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",20
2024,"Fall",24426331,2.337,51,"BS",10462,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Science",0,"1st year undergraduate","Black or African American","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","60%-80%",20
2024,"Fall",24427446,3.285,66,"BS",11208,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Biology",3.45,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","Less than 60,000","40%-60%",20
2024,"Fall",24427677,3.315,89,"BA",11208,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Economics And Comp Sci",3.1,"2nd year undergraduate","Asian","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","60%-80%",21
2024,"Fall",24427737,3.5,48,"BA",10451,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Economics",4,"1st year undergraduate","Multiracial","Yes","No","No","Married",NA,"Currently Unemployed","$100,000 to $150,000","0%-20%",20
2024,"Fall",24430656,2.975,56,"BE",10465,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Mechanical Engineering",3.7,"1st year undergraduate","Asian","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",20
2024,"Fall",24432912,3.552,52,"BS",10462,2007,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",4,"1st year undergraduate","Black or African American","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",19
2024,"Fall",24432917,3.475,66,"BSED",10453,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Childhood Education",3.5,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$201-$400","$60,000 to $99,999","20%-40%",20
2024,"Fall",24433407,0,3,"BS",11212,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",0,"1st year undergraduate","Black or African American","No","No","No","Dating/In A Relationship","$60,000 to $99,999","Currently Unemployed","$150,001 to $299,999","60%-80%",20
2024,"Fall",24434574,3.112,85,"BFA",11420,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Electronic Design And Multimedia",3.2,"2nd year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",21
2024,"Fall",24445449,3.004,66,"BS",11224,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",3,"1st year undergraduate","Asian","Yes","No","No","Single","$60,000 to $99,999","Currently Unemployed","Greater than $300,000","80%-100%",20
2024,"Fall",24446668,3.13,74,"BE",11203,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Mechanical Engineering",3,"2nd year undergraduate","Asian","Yes","Yes","No","Single",NA,"Currently Unemployed","$100,000 to $150,000","40%-60%",21
2024,"Fall",24446693,2.222,50,"BS",11206,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",4,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$150,001 to $299,999","40%-60%",20
2024,"Fall",24448169,2.91,53,"BS",11213,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: B.s",0,"1st year undergraduate","Black or African American","No","No","No","Single",NA,"$200 or less","$100,000 to $150,000","20%-40%",20
2024,"Fall",24448240,3.964,55,"BA",10029,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","Less than 60,000","20%-40%",20
2024,"Fall",24448912,1.614,29,"BA",11434,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Psychology",3,"1st year undergraduate","Black or African American","No","No","No","Single",NA,"Currently Unemployed","Less than 60,000","40%-60%",20
2024,"Fall",24450059,2.619,60,"AA",12453,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Computer Science",3.5,"1st year undergraduate","Multiracial","No","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",21
2024,"Fall",24471701,3.976,67,"BA",10031,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: English Education",4,"1st year undergraduate","White or Caucasian","Yes","Yes","No","Single","$60,000 to $99,999","$201-$400","$100,000 to $150,000","40%-60%",22
2024,"Fall",24477003,3.337,61,"BS",11420,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",3.6,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","20%-40%",20
2024,"Fall",24480567,3.453,120,"BA",10031,2002,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Communications",3.2,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single",NA,"$201-$400","$150,001 to $299,999","60%-80%",24
2024,"Fall",24488502,3.223,66,"BE",11432,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Computer Engineering",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24488733,3.251,58,"BA",12701,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",20
2024,"Fall",24492143,3.628,64,"BA",10453,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",4,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24493726,3.3,48,"BA",11214,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Economics",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","40%-60%",21
2024,"Fall",24504058,3.47,62,"BA",10452,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Sociology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","40%-60%",20
2024,"Fall",24507185,3.077,27,"BS",10466,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","20%-40%",20
2024,"Fall",24508229,3.75,15,"BA",11367,2007,"Female","Non-binary","Pansexual","Full-time (12 credits or more)","Declared: Popular Music",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",19
2024,"Fall",24512263,3.111,63,"BS",10452,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biochemistry",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",20
2024,"Fall",24512572,1.333,3,"BS",11234,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Black or African American","Yes","No","No","Dating/In A Relationship","$60,000 to $99,999","Currently Unemployed","$100,000 to $150,000","40%-60%",20
2024,"Fall",24518972,3.608,59,"BE",10027,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Electrical Engineering",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",20
2024,"Fall",24519800,3.625,54,"BA",10473,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Political Science",3.6,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",21
2024,"Fall",24521327,3.732,25,"BA",11249,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Undeclared: Psychology",4,"1st year undergraduate","Multiracial","Yes","No","No","Single","$150,001 to $299,999","$200 or less","Greater than $300,000","60%-80%",20
2024,"Fall",24521723,3.577,68,"BA",10468,2007,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",19
2024,"Fall",24522682,3.416,75,"BA",10027,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",0,"1st year undergraduate","Black or African American","No","No","No","Single",NA,"Currently Unemployed","$100,000 to $150,000","60%-80%",20
2024,"Fall",24523009,3.087,54,"BA",11435,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",0,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$601-$800","$100,000 to $150,000","80%-100%",20
2024,"Fall",24523112,2.655,68,"BE",11233,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Engineering",0,"1st year undergraduate","Black or African American","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24523409,2.777,51,"BE",11205,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Engineering",3.9,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"Currently Unemployed","Greater than $300,000","40%-60%",20
2024,"Fall",24525200,3.633,60,"BS",11374,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Asian","Yes","No","No","Single",NA,"$401-$600","$100,000 to $150,000","60%-80%",20
2024,"Fall",24525234,3.912,54,"BA",10452,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Psychology",2.7,"1st year undergraduate","Black or African American","No","No","No","Domestic partnership",NA,"$200 or less","$60,000 to $99,999","20%-40%",20
2024,"Fall",24525664,3.916,62,"BA",10029,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",20
2024,"Fall",24525823,3.925,43,"BA",11212,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Black or African American","No","No","No","Single","$60,000 to $99,999","Currently Unemployed","$150,001 to $299,999","40%-60%",20
2024,"Fall",24526118,3.175,21,"BA",10459,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Psychology",2,"1st year undergraduate","Multiracial","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24526947,2.177,40,"BA",11222,2006,"Female","Non-binary","Homosexual (as in ""lesbian"" or ""gay"")","Full-time (12 credits or more)","Declared: Psychology",3.4,"1st year undergraduate","Black or African American","No","Yes","No","Single",NA,"$201-$400","$60,000 to $99,999","40%-60%",20
2024,"Fall",24527401,3.581,58,"BA",10463,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single","$100,000 to $150,000","$201-$400","$100,000 to $150,000","40%-60%",20
2024,"Fall",24527412,3.75,58,"BSED",10451,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Childhood Education",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",20
2024,"Fall",24528066,3.677,68,"BS",11203,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Chemistry",4,"1st year undergraduate","Black or African American","No","No","No","Single","$100,000 to $150,000","$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24529122,2.65,55,"BE",10462,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Mechanical Engineering",3.8,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","40%-60%",20
2024,"Fall",24529998,3.416,72,"BM",11233,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Jazz Studies",3,"1st year undergraduate","Some other race, ethnicity or origin","No","No","No","Single","$150,001 to $299,999","$2000 or more","$100,000 to $150,000","20%-40%",20
2024,"Fall",24532176,3.461,91,"BS",11946,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Biochemistry",3.7,"1st year undergraduate","White or Caucasian","No","No","No","Single","$100,000 to $150,000","$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24533361,1.822,30,"BS",11104,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",3.7,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","Less than 60,000","40%-60%",20
2024,"Fall",24534752,2.488,34,"BE",10458,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Computer Science",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$60,000 to $99,999","20%-40%",20
2024,"Fall",24535497,3.455,51,"BA",11356,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",4,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","20%-40%",20
2024,"Fall",24536105,3.107,52,"BA",10701,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Psychology",4,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$100,000 to $150,000","40%-60%",20
2024,"Fall",24536411,3.928,58,"BA",10456,2006,"Female","Non-binary","Bisexual","Full-time (12 credits or more)","Declared: Psychology",3.8,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$100,000 to $150,000","20%-40%",20
2024,"Fall",24536705,3.282,57,"BS",11385,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Mechanical Engineering",4,"1st year undergraduate","White or Caucasian","Yes","No","No","Single","$60,000 to $99,999","$201-$400","$100,000 to $150,000","40%-60%",20
2024,"Fall",24537381,2.51,40,"BE",10469,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Comp Sci",2.8,"1st year undergraduate","Asian","No","No","No","Single",NA,"$200 or less","Greater than $300,000","80%-100%",20
2024,"Fall",24539514,3.757,63,"BS",10031,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology",0,"1st year undergraduate","Middle Eastern or North African","Yes","No","No","Single",NA,"$201-$400","$100,000 to $150,000","40%-60%",21
2024,"Fall",24541251,3.461,60,"BA",10468,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",20
2024,"Fall",24542217,2.96,39,"BA",11212,2007,"Female","Female","Uncertain/Questioning","Full-time (12 credits or more)","Declared: Pre-Med Psych",3,"1st year undergraduate","Black or African American","No","No","No","Single",NA,"$200 or less","Greater than $300,000","20%-40%",19
2024,"Fall",24543300,3.362,63,"BA",11385,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Engineering",3.7,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single","$60,000 to $99,999","$200 or less","$60,000 to $99,999","40%-60%",20
2024,"Fall",24544204,3.593,61,"BS",11226,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",3.4,"1st year undergraduate","Black or African American","Yes","No","No","Single","$60,000 to $99,999","$200 or less","$100,000 to $150,000","40%-60%",20
2024,"Fall",24544666,3.79,62,"BA",11214,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Finance",0,"1st year undergraduate","Multiracial","No","Yes","No","Single","$60,000 to $99,999","Currently Unemployed","$100,000 to $150,000","20%-40%",20
2024,"Fall",24545381,3.761,97,"BS",11209,2006,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biomedical Sciences",3.7,"1st year undergraduate","Middle Eastern or North African","Yes","No","No","Single","Greater than $300,000","Currently Unemployed","Greater than $300,000","60%-80%",20
2024,"Fall",24546524,2.477,37,"BA",10451,2006,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Engineering",3,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$601-$800","$100,000 to $150,000","60%-80%",20
2024,"Fall",24547139,3.8,48,"BA",10035,2006,"Female","Female","Bisexual","Full-time (12 credits or more)","Declared: Psychology",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single",NA,"$601-$800","$60,000 to $99,999","40%-60%",20
2024,"Fall",24547201,2.566,33,"BS",11212,2005,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biology",0,"1st year undergraduate","Black or African American","No","No","No","Single","$60,000 to $99,999","$201-$400","$100,000 to $150,000","80%-100%",21
2024,"Fall",24547711,3.614,21,"BE",11435,2005,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Mechanical Engineering",0,"1st year undergraduate","Asian","Yes","Yes","No","Single",NA,"$200 or less","$100,000 to $150,000","40%-60%",21
2024,"Fall",24548862,3.588,52,"BARCH",11416,2005,"Female","Female","Heterosexual (as in ""straight"")","Part-time (Fewer than 12 credits)","Undeclared: Architecture",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$401-$600","$60,000 to $99,999","40%-60%",21
