"AY","semester","emplid_ID","GPA","CREDITS","DEGREE","zip_code","birth_year","birth_sex","gender_id","sexual_oriental","enrollment_status","Major","gpa_by_student","college_year","ethnicity","other_home_language","transfer","international_student","relationship_status","annual_household_income","personal_weekly_income","future_personal_annual_income","college_salary_greater","age"
2024,"Fall",24024695,3.54,31,"BE",11220,2003,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Computer Science",3,"1st year undergraduate","Asian","No","No","No","Single","$60,000 to $99,999","$201-$400","$60,000 to $99,999","40%-60%",23
2024,"Fall",24044589,3.228,121,"BS",11370,2004,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Psychology",2.6,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","Yes","No","Single",NA,"$801-$1000","$100,000 to $150,000","40%-60%",22
2024,"Fall",24048156,3.52,93,"BS",10553,2001,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: Biochemistry",3.55,"3rd year undergraduate","Black or African American","Yes","Yes","No","Single",NA,"$200 or less","Less than 60,000","0%-20%",25
2024,"Fall",24063308,3.497,58,"BA",10463,2002,"Female","Female","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Psychology",3.2,"1st year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single","$60,000 to $99,999","$201-$400","$150,001 to $299,999","40%-60%",24
2024,"Fall",24066764,3.533,75,"BA",10033,2004,"Female","Female","Heterosexual (as in ""straight"")","Part-time (Fewer than 12 credits)","Declared: Psychology",3.4,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"Currently Unemployed","$100,000 to $150,000","40%-60%",22
2024,"Fall",24067690,3.731,105,"BA",10462,2004,"Female","Non-binary","Asexual","Full-time (12 credits or more)","Declared: Art",3.6,"3rd year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Single",NA,"$200 or less","$60,000 to $99,999","40%-60%",22
2024,"Fall",24069284,2.932,129,"BA",10128,2002,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Business",3,"4th year undergraduate","Hispanic, Latino or Spanish Origin","Yes","No","No","Single",NA,"$401-$600","Greater than $300,000","20%-40%",24
2024,"Fall",24085978,3.385,30,"BA",11221,2002,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Declared: History",0,"1st year undergraduate","Hispanic, Latino or Spanish Origin","No","No","No","Domestic partnership",NA,"$1001-$1200","Less than 60,000","20%-40%",24
2024,"Fall",24094908,3.585,84,"BA",10031,2002,"Male","Male","Heterosexual (as in ""straight"")","Part-time (Fewer than 12 credits)","Declared: Business Management",3.9,"3rd year undergraduate","Asian","Yes","Yes","No","Single",NA,"$201-$400","Less than 60,000","20%-40%",24
2024,"Fall",24101371,3.11,47,"BS",10461,2004,"Male","Male","Heterosexual (as in ""straight"")","Full-time (12 credits or more)","Undeclared: Biology Or Psychology",3.3,"2nd year undergraduate","Asian","Yes","No","No","Single",NA,"$200 or less","$60,000 to $99,999","60%-80%",22
