User Unique ID,Training Title,Training Locator Number,Training Start Date
95be528e-a7c5-4146-bcb2-db0b1200b96b,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
d13292b9-7082-4510-a134-b6724c91b2d1,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
c577b068-ce0e-4653-a653-be9b0ff40d98,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
03c117c9-066a-4ed4-be19-40ab2fe0fcb0,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
014ff0bb-5508-48c0-afb6-c04948a378f2,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
01807d7d-0e63-4364-bebc-cae58af6d242,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
6beb16e2-0169-448c-ad6e-ea9a1854e9c6,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
9bc9ade3-6e5a-4078-a493-fc43091c0c4b,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
e3232177-813f-4579-b233-f96c01a0b5ab,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
77c5ec82-9ace-415a-887f-a90310eb04d6,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
b22b1707-030d-407b-a6c1-96e83132a610,Understanding and Undoing Implicit Bias (Virtual ILT),12033,1/31/22 9:15
31b740eb-ed5d-4e4a-b9c5-35c6b7deb15b,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
6121acf0-17ec-4918-9bd9-9f3a20365b08,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
03f9f9b2-6e24-4e67-b274-e0321d3b2e12,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
7c77ab2a-acf9-40dc-bdab-8e663c56bf21,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
fd9343d5-9c94-4e92-8be7-b12b0349870d,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
b435b3ec-f861-4152-adcb-6d3d9749e01d,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
44083878-9dbb-40ab-8ef3-e0c44b40b495,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
3b76313d-4154-44a8-a708-df372b6aa6b6,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
e908264e-4f75-4b17-8cf9-e9526fd94370,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
65d5c4dd-a26c-4991-86ec-9d1760abaf08,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
a890702b-be31-4ff3-9e04-f1361226ec8d,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
b4e1b085-faa7-4447-8161-e7ef7efbbdfe,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
8892e340-d6a4-46a8-9c2d-2db760940633,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
25e80732-93b3-491d-b0e7-f69530488570,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
3ae1c1d4-9901-4a88-a9d4-741afb6e6342,Understanding and Undoing Implicit Bias (Virtual ILT),12210,2/2/22 9:15
c3af0fb6-e7e3-433e-98a1-7fcc354e6282,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
ea692674-777a-46ac-8b73-6823bf109579,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
0829ec1d-2038-4658-89b0-7fda756d9741,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
0bbf9ca5-032a-4cc3-840d-ddea598a037b,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
9ab7ce47-be4a-4858-b253-05f8226411f7,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
6add3f3a-2cf4-4913-ac23-8f29439009c7,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
fd0d1d11-6083-4b1c-93e0-8ccfb67cfa98,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
9dea86c0-cde2-462d-875a-db33d4e3cbc7,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
96986cee-22a5-4d71-b4ca-f0d50eaec290,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
892928ee-4632-4b14-80b3-c4dcbc8f6e20,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
ce7fec69-4452-4295-a453-08dcef42e835,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
db8b278c-f21a-431d-bf59-c2faca46b159,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
9d5c6b8f-c751-4fbf-9cf6-ee9ed13a2a7f,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
d9f65645-bdc1-40d7-ad28-c08224e560fa,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
8914d1d9-ef97-4c7c-92e3-22b5ec3d5eab,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
8f7fdf40-bfb5-4be0-90a1-0bf85e847a3a,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
bca62d4e-a3ac-473f-9142-cda9122255f2,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
da1b791c-58f9-4e3d-baa0-50ee129f89df,Understanding and Undoing Implicit Bias (Virtual ILT),12211,2/9/22 9:15
5cf6da6f-9da8-4293-8a05-5defd303107d,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
a11f30f5-a109-4b25-ad51-84cfea1406bf,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
a7527387-8d22-45fd-b0f7-ffb6bd305f4a,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
edb5ba64-df72-4ed3-bc0c-0a474d91ae15,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
87d42e84-109c-47be-abc3-9609b7312b5f,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
638fed43-7e76-439e-8566-028e6c1fbf08,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
8d71e38f-2f8a-4a16-ae00-d41372960e33,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
3decbfd4-1d8b-4f29-a390-e3cc1546a95b,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
b6b8648d-39fa-46a3-a069-e631f9d14be6,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
3a88b4e7-b59f-4920-a4ff-4fc737e8f605,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
75f562c2-dd56-4d4e-b92d-ae6db2a02c64,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
a9ea6450-309b-45bf-9782-085b6ec0a3da,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
4fc868a5-9190-4a93-a9ef-97bad4c7b234,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
677fdf4f-6ff7-49c8-8c1e-2dbf9d90df31,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
bb840887-d1a4-45e0-9424-e7d701c50802,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
c92a8d63-8bfe-42ee-ac7e-83e4912fcbd7,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
ebaae192-3e1a-4155-9d5d-f2be86c9cfc6,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
cd0a19d0-b2bd-44a4-a9d5-f00357ed15cf,Understanding and Undoing Implicit Bias (Virtual ILT),12212,2/16/22 9:15
572c45c5-b4a6-4211-8db5-2b159c14467d,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
5ed1706b-8d67-4d7d-8353-26b60cdbf3b8,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
927f3f2a-fe0d-41e9-807c-76b3430782f1,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
49113f18-8adf-4410-bba6-703551223a28,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
9e061f58-f1d8-4993-a5a6-011a25658d34,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
897c8faf-d725-49ad-8efe-56e86c6edbb5,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
e6f6199b-54e6-4676-921d-794f994dde7d,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
7c7c1f6f-12dd-43ec-897d-f2a3248316e1,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
fb80f015-3255-4400-929c-88633325f537,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
dfcf9df8-36a2-4a33-b507-f42dc185e1ee,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
c5890538-6626-4844-a3e7-b78ae6dfcb45,Understanding and Undoing Implicit Bias (Virtual ILT),12213,2/23/22 9:15
ef33e1e0-3979-4328-a513-755356e34920,Understanding and Undoing Implicit Bias (Virtual ILT),12402,3/3/22 9:15
